***************** properties *****************
"rocksdb.allow_mmap_reads"="false "
"rocksdb.level0_slowdown_writes_trigger"="20"
"fieldcount"="10"
"rocksdb.use_direct_reads"="false"
"insertproportion"="0"
"threadcount"="4"
"updateproportion"="0.05"
"readallfields"="true"
"requestdistribution"="uniform"
"rocksdb.whole_key_filtering"="true"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.block_restart_interval"="16"
"scanproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.block_size_deviation"="10"
"readproportion"="0.95"
"dotransactions"="true"
"recordcount"="3000000"
"rocksdb.allow_concurrent_memtable_writes"="true"
"rocksdb.max_bytes_for_level_multiplier"="10"
"workload"="core"
"rocksdb.allow_mmap_writes"="false"
"rocksdb.use_fsync"="false"
"rocksdb.no_block_cache"="false"
"rocksdb.arena_block_size"="0"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.block_size"="4096"
"fieldlength"="100"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.num_levels"="7"
"rocksdb.max_total_wal_size"="0"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.max_background_flushes"="2"
"maxscanlength"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.cache_index_and_filter_blocks"="false"
"operationcount"="10000000"
**********************************************
READ   - Takes(s): 550.0, Count: 1469031, OPS: 2671.0, Avg(us): 1417, Min(us): 4, Max(us): 312753, 99th(us): 41000, 99.9th(us): 87000, 99.99th(us): 138000
UPDATE - Takes(s): 550.0, Count: 77389, OPS: 140.7, Avg(us): 1442, Min(us): 12, Max(us): 172210, 99th(us): 40000, 99.9th(us): 87000, 99.99th(us): 129000
READ   - Takes(s): 560.0, Count: 1549892, OPS: 2767.7, Avg(us): 1368, Min(us): 4, Max(us): 312753, 99th(us): 40000, 99.9th(us): 87000, 99.99th(us): 138000
UPDATE - Takes(s): 560.0, Count: 81693, OPS: 145.9, Avg(us): 1391, Min(us): 12, Max(us): 172210, 99th(us): 39000, 99.9th(us): 87000, 99.99th(us): 129000
READ   - Takes(s): 570.0, Count: 1632006, OPS: 2863.2, Avg(us): 1322, Min(us): 3, Max(us): 312753, 99th(us): 40000, 99.9th(us): 86000, 99.99th(us): 137000
UPDATE - Takes(s): 570.0, Count: 86089, OPS: 151.0, Avg(us): 1347, Min(us): 12, Max(us): 172210, 99th(us): 38000, 99.9th(us): 86000, 99.99th(us): 129000
READ   - Takes(s): 580.0, Count: 1722401, OPS: 2969.7, Avg(us): 1274, Min(us): 3, Max(us): 312753, 99th(us): 39000, 99.9th(us): 85000, 99.99th(us): 136000
UPDATE - Takes(s): 580.0, Count: 90812, OPS: 156.6, Avg(us): 1302, Min(us): 12, Max(us): 172210, 99th(us): 38000, 99.9th(us): 86000, 99.99th(us): 128000
READ   - Takes(s): 590.0, Count: 1821678, OPS: 3087.6, Avg(us): 1226, Min(us): 3, Max(us): 312753, 99th(us): 38000, 99.9th(us): 84000, 99.99th(us): 133000
UPDATE - Takes(s): 590.0, Count: 95968, OPS: 162.7, Avg(us): 1249, Min(us): 12, Max(us): 172210, 99th(us): 37000, 99.9th(us): 84000, 99.99th(us): 129000
