***************** properties *****************
"fieldlength"="100"
"fieldcount"="10"
"rocksdb.use_fsync"="false"
"rocksdb.max_bytes_for_level_multiplier"="10"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_background_flushes"="2"
"rocksdb.allow_concurrent_memtable_writes"="true"
"operationcount"="10000000"
"threadcount"="4"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"rocksdb.level0_file_num_compaction_trigger"="4"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"insertproportion"="0"
"updateproportion"="0"
"rocksdb.dir"="../data"
"rocksdb.write_buffer_size"="134217728"
"readallfields"="true"
"readmodifywriteproportion"="0.5"
"rocksdb.use_direct_reads"="false"
"dotransactions"="true"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.block_size_deviation"="10"
"rocksdb.block_restart_interval"="16"
"rocksdb.cache_index_and_filter_blocks"="false"
"scanproportion"="0"
"rocksdb.whole_key_filtering"="true"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.max_total_wal_size"="0"
"recordcount"="3000000"
"rocksdb.no_block_cache"="false"
"rocksdb.block_size"="4096"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.num_levels"="7"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.allow_mmap_reads"="false "
"maxscanlength"="10"
"requestdistribution"="uniform"
"workload"="core"
"rocksdb.arena_block_size"="0"
"readproportion"="0.5"
"rocksdb.allow_mmap_writes"="false"
**********************************************
UPDATE - Takes(s): 220.0, Count: 273202, OPS: 1241.9, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 230.0, Count: 561024, OPS: 2439.4, Avg(us): 1613, Min(us): 3, Max(us): 684339, 99th(us): 42000, 99.9th(us): 124000, 99.99th(us): 430000
READ_MODIFY_WRITE - Takes(s): 230.0, Count: 280428, OPS: 1219.3, Avg(us): 1665, Min(us): 18, Max(us): 684391, 99th(us): 42000, 99.9th(us): 127000, 99.99th(us): 426000
UPDATE - Takes(s): 230.0, Count: 280428, OPS: 1219.3, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 240.0, Count: 576871, OPS: 2403.7, Avg(us): 1637, Min(us): 3, Max(us): 684339, 99th(us): 42000, 99.9th(us): 124000, 99.99th(us): 430000
READ_MODIFY_WRITE - Takes(s): 240.0, Count: 288295, OPS: 1201.3, Avg(us): 1690, Min(us): 18, Max(us): 684391, 99th(us): 42000, 99.9th(us): 126000, 99.99th(us): 426000
UPDATE - Takes(s): 240.0, Count: 288295, OPS: 1201.3, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 250.0, Count: 592906, OPS: 2371.7, Avg(us): 1660, Min(us): 3, Max(us): 684339, 99th(us): 43000, 99.9th(us): 124000, 99.99th(us): 423000
READ_MODIFY_WRITE - Takes(s): 250.0, Count: 296361, OPS: 1185.5, Avg(us): 1718, Min(us): 18, Max(us): 684391, 99th(us): 43000, 99.9th(us): 125000, 99.99th(us): 423000
UPDATE - Takes(s): 250.0, Count: 296361, OPS: 1185.5, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 260.0, Count: 609773, OPS: 2345.4, Avg(us): 1679, Min(us): 3, Max(us): 684339, 99th(us): 43000, 99.9th(us): 122000, 99.99th(us): 420000
READ_MODIFY_WRITE - Takes(s): 260.0, Count: 304764, OPS: 1172.2, Avg(us): 1737, Min(us): 18, Max(us): 684391, 99th(us): 43000, 99.9th(us): 124000, 99.99th(us): 418000
UPDATE - Takes(s): 260.0, Count: 304764, OPS: 1172.2, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 270.0, Count: 626676, OPS: 2321.1, Avg(us): 1697, Min(us): 3, Max(us): 684339, 99th(us): 43000, 99.9th(us): 121000, 99.99th(us): 412000
READ_MODIFY_WRITE - Takes(s): 270.0, Count: 313359, OPS: 1160.6, Avg(us): 1755, Min(us): 18, Max(us): 684391, 99th(us): 44000, 99.9th(us): 124000, 99.99th(us): 412000
UPDATE - Takes(s): 270.0, Count: 313359, OPS: 1160.6, Avg(us): 39, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 4000
READ   - Takes(s): 280.0, Count: 643492, OPS: 2298.3, Avg(us): 1714, Min(us): 3, Max(us): 684339, 99th(us): 43000, 99.9th(us): 120000, 99.99th(us): 406000
READ_MODIFY_WRITE - Takes(s): 280.0, Count: 321835, OPS: 1149.5, Avg(us): 1773, Min(us): 18, Max(us): 684391, 99th(us): 44000, 99.9th(us): 122000, 99.99th(us): 406000
UPDATE - Takes(s): 280.0, Count: 321835, OPS: 1149.5, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 3000
READ   - Takes(s): 290.0, Count: 661503, OPS: 2281.1, Avg(us): 1727, Min(us): 3, Max(us): 684339, 99th(us): 44000, 99.9th(us): 119000, 99.99th(us): 402000
READ_MODIFY_WRITE - Takes(s): 290.0, Count: 330796, OPS: 1140.7, Avg(us): 1786, Min(us): 18, Max(us): 684391, 99th(us): 44000, 99.9th(us): 121000, 99.99th(us): 397000
UPDATE - Takes(s): 290.0, Count: 330796, OPS: 1140.7, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 3000
READ   - Takes(s): 300.0, Count: 679926, OPS: 2266.5, Avg(us): 1739, Min(us): 3, Max(us): 684339, 99th(us): 44000, 99.9th(us): 118000, 99.99th(us): 400000
READ_MODIFY_WRITE - Takes(s): 300.0, Count: 340052, OPS: 1133.6, Avg(us): 1794, Min(us): 18, Max(us): 684391, 99th(us): 44000, 99.9th(us): 121000, 99.99th(us): 390000
UPDATE - Takes(s): 300.0, Count: 340052, OPS: 1133.6, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 3000
READ   - Takes(s): 310.0, Count: 698860, OPS: 2254.5, Avg(us): 1748, Min(us): 3, Max(us): 684339, 99th(us): 44000, 99.9th(us): 116000, 99.99th(us): 390000
READ_MODIFY_WRITE - Takes(s): 310.0, Count: 349475, OPS: 1127.4, Avg(us): 1804, Min(us): 18, Max(us): 684391, 99th(us): 44000, 99.9th(us): 120000, 99.99th(us): 390000
UPDATE - Takes(s): 310.0, Count: 349475, OPS: 1127.4, Avg(us): 38, Min(us): 9, Max(us): 123108, 99th(us): 1000, 99.9th(us): 1000, 99.99th(us): 3000
