***************** properties *****************
"readproportion"="0.5"
"rocksdb.block_size"="4096"
"rocksdb.level0_stop_writes_trigger"="36"
"rocksdb.use_direct_reads"="false"
"rocksdb.max_bytes_for_level_base"="268435456"
"rocksdb.block_size_deviation"="10"
"rocksdb.memtable_huge_page_size"="0"
"rocksdb.allow_mmap_reads"="false "
"threadcount"="4"
"rocksdb.level0_file_num_compaction_trigger"="4"
"operationcount"="10000000"
"rocksdb.db_write_buffer_size"="0"
"rocksdb.max_bytes_for_level_multiplier"="10"
"requestdistribution"="uniform"
"rocksdb.write_buffer_size"="134217728"
"rocksdb.use_fsync"="false"
"rocksdb.cache_index_and_filter_blocks"="false"
"rocksdb.level0_slowdown_writes_trigger"="20"
"rocksdb.num_levels"="7"
"workload"="core"
"rocksdb.no_block_cache"="false"
"insertproportion"="0"
"rocksdb.block_restart_interval"="16"
"rocksdb.pin_l0_filter_and_index_blocks_in_cache"="false"
"maxscanlength"="10"
"rocksdb.allow_mmap_writes"="false"
"recordcount"="3000000"
"scanproportion"="0"
"updateproportion"="0.5"
"rocksdb.arena_block_size"="0"
"dotransactions"="true"
"rocksdb.hard_pending_compaction_bytes_limit"="274877906944"
"fieldlength"="100"
"rocksdb.whole_key_filtering"="true"
"rocksdb.allow_concurrent_memtable_writes"="true"
"readallfields"="true"
"rocksdb.max_background_flushes"="2"
"fieldcount"="10"
"rocksdb.dir"="../data"
"rocksdb.max_total_wal_size"="0"
**********************************************
READ   - Takes(s): 499.9, Count: 732170, OPS: 1464.6, Avg(us): 1353, Min(us): 4, Max(us): 734205, 99th(us): 32000, 99.9th(us): 166000, 99.99th(us): 496000
UPDATE - Takes(s): 499.9, Count: 731687, OPS: 1463.7, Avg(us): 1370, Min(us): 11, Max(us): 725283, 99th(us): 31000, 99.9th(us): 172000, 99.99th(us): 505000
READ   - Takes(s): 509.9, Count: 738303, OPS: 1447.9, Avg(us): 1367, Min(us): 4, Max(us): 734205, 99th(us): 32000, 99.9th(us): 169000, 99.99th(us): 497000
UPDATE - Takes(s): 509.9, Count: 737917, OPS: 1447.2, Avg(us): 1388, Min(us): 11, Max(us): 725283, 99th(us): 32000, 99.9th(us): 174000, 99.99th(us): 505000
READ   - Takes(s): 519.9, Count: 746657, OPS: 1436.1, Avg(us): 1379, Min(us): 4, Max(us): 734205, 99th(us): 32000, 99.9th(us): 170000, 99.99th(us): 500000
UPDATE - Takes(s): 519.9, Count: 746478, OPS: 1435.9, Avg(us): 1398, Min(us): 11, Max(us): 725283, 99th(us): 32000, 99.9th(us): 174000, 99.99th(us): 505000
READ   - Takes(s): 529.9, Count: 754265, OPS: 1423.4, Avg(us): 1395, Min(us): 4, Max(us): 734205, 99th(us): 33000, 99.9th(us): 171000, 99.99th(us): 500000
UPDATE - Takes(s): 529.9, Count: 754045, OPS: 1423.0, Avg(us): 1407, Min(us): 11, Max(us): 725283, 99th(us): 32000, 99.9th(us): 175000, 99.99th(us): 505000
READ   - Takes(s): 539.9, Count: 766156, OPS: 1419.0, Avg(us): 1399, Min(us): 4, Max(us): 734205, 99th(us): 33000, 99.9th(us): 170000, 99.99th(us): 500000
UPDATE - Takes(s): 539.9, Count: 765920, OPS: 1418.7, Avg(us): 1412, Min(us): 11, Max(us): 725283, 99th(us): 33000, 99.9th(us): 173000, 99.99th(us): 504000
READ   - Takes(s): 549.9, Count: 780638, OPS: 1419.6, Avg(us): 1398, Min(us): 4, Max(us): 734205, 99th(us): 33000, 99.9th(us): 167000, 99.99th(us): 497000
UPDATE - Takes(s): 549.9, Count: 780390, OPS: 1419.2, Avg(us): 1412, Min(us): 11, Max(us): 725283, 99th(us): 33000, 99.9th(us): 171000, 99.99th(us): 500000
